age,job,marital_status,education,balance_eur,housing_loan,personal_loan,communication_type,contacts_this_campaign,days_since_previous_contact,contacts_before_campaign,previous_campaign_outcome,subscribed,call_duration_minutes,days_since_previous_contact_nan,contacts_before_campaign_nan,date,weekday,month,was_contacted_before,job_group,has_loan,has_both_loan
41,technician,Single,tertiary,2611,1,0,cellular,1,314,2,failure,0,2.15,314.0,2.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
47,technician,Married,tertiary,213,0,0,cellular,1,-1,0,unknown,0,2.566666666666667,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
37,technician,Married,tertiary,6968,0,0,cellular,1,-1,0,unknown,0,2.9166666666666665,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
60,technician,Married,secondary,1740,0,0,cellular,1,80,2,success,0,13.566666666666666,80.0,2.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
46,management,Single,tertiary,4629,0,0,cellular,1,41,1,failure,0,1.1166666666666667,41.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
24,student,Single,unknown,839,0,0,cellular,1,-1,0,unknown,0,1.0833333333333333,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
45,blue-collar,Married,secondary,1723,0,0,cellular,2,-1,0,unknown,1,2.7666666666666666,,,2009-06-01,Monday,June,0,Blue-collar/Service,0,0
33,management,Married,tertiary,1323,0,0,cellular,1,-1,0,unknown,1,5.45,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
45,admin.,Married,tertiary,2552,0,0,cellular,1,293,7,failure,1,1.15,293.0,7.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
30,management,Married,tertiary,155,1,0,cellular,1,-1,0,unknown,0,5.883333333333334,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
59,admin.,Married,secondary,205,0,0,telephone,1,-1,0,unknown,0,4.616666666666666,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
59,retired,Married,tertiary,1312,1,0,cellular,2,-1,0,unknown,0,4.066666666666666,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,1,0
46,technician,Single,secondary,5862,0,0,cellular,1,-1,0,unknown,1,1.4,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
26,management,Single,secondary,2613,0,0,cellular,1,-1,0,unknown,1,5.433333333333334,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
25,student,Single,secondary,1116,1,0,cellular,1,20,5,failure,0,1.9833333333333334,20.0,5.0,2009-06-01,Monday,June,1,Student/Retired/Unemployed,1,0
31,unemployed,Single,primary,3652,0,0,cellular,1,-1,0,unknown,0,4.75,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
58,unemployed,Single,tertiary,2094,0,0,cellular,2,-1,0,unknown,0,2.683333333333333,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
34,admin.,Single,secondary,528,0,0,cellular,1,124,1,other,0,2.75,124.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
58,management,Married,tertiary,2764,0,0,cellular,1,196,1,failure,0,7.65,196.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
49,admin.,Married,secondary,0,0,0,cellular,1,-1,0,unknown,1,24.333333333333332,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
25,technician,Single,secondary,938,0,0,cellular,1,-1,0,unknown,1,17.466666666666665,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
53,technician,Married,secondary,284,0,0,cellular,1,-1,0,unknown,1,13.016666666666667,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
42,entrepreneur,Married,secondary,707,0,0,cellular,1,348,1,success,0,3.8833333333333333,348.0,1.0,2009-06-01,Monday,June,1,Entrepreneur/Self-employed,0,0
43,management,Married,tertiary,1059,0,1,cellular,2,-1,0,unknown,1,5.583333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
49,technician,Married,secondary,1684,0,1,cellular,2,-1,0,unknown,1,6.866666666666666,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
54,management,Married,tertiary,534,0,0,cellular,2,-1,0,unknown,1,2.95,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
47,technician,Married,secondary,293,0,0,cellular,1,90,1,success,1,4.183333333333334,90.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
55,technician,Married,secondary,0,1,1,cellular,1,91,1,success,0,1.7666666666666666,91.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,1
52,technician,Married,secondary,0,1,0,cellular,1,83,1,failure,0,2.4,83.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
37,management,Married,tertiary,1352,0,0,cellular,1,347,1,success,0,1.55,347.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
52,entrepreneur,Married,primary,1998,0,0,telephone,1,-1,0,unknown,0,2.55,,,2009-06-01,Monday,June,0,Entrepreneur/Self-employed,0,0
60,management,Married,tertiary,261,1,1,cellular,1,192,1,failure,0,2.1333333333333333,192.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,1
34,blue-collar,Married,secondary,262,0,0,cellular,1,-1,0,unknown,1,5.65,,,2009-06-01,Monday,June,0,Blue-collar/Service,0,0
57,retired,Married,tertiary,1292,0,0,cellular,1,69,1,failure,0,2.5166666666666666,69.0,1.0,2009-06-01,Monday,June,1,Student/Retired/Unemployed,0,0
35,management,Single,tertiary,671,1,0,cellular,1,83,1,success,0,2.1333333333333333,83.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
56,management,Married,tertiary,1407,0,0,cellular,1,-1,0,unknown,0,6.466666666666667,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
47,unknown,Single,unknown,1819,0,0,cellular,1,-1,0,unknown,0,3.0,,,2009-06-01,Monday,June,0,Unknown,0,0
46,management,Married,tertiary,0,1,0,cellular,2,-1,0,unknown,0,1.45,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
52,retired,Married,primary,1629,0,0,telephone,1,-1,0,unknown,0,3.2,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
45,entrepreneur,Married,tertiary,98,0,0,cellular,2,-1,0,unknown,0,12.683333333333334,,,2009-06-01,Monday,June,0,Entrepreneur/Self-employed,0,0
48,housemaid,Married,primary,332,1,0,cellular,1,-1,0,unknown,0,4.366666666666666,,,2009-06-01,Monday,June,0,Blue-collar/Service,1,0
50,management,Married,tertiary,85,0,1,cellular,1,-1,0,unknown,0,2.35,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
49,management,Single,tertiary,493,0,0,cellular,1,39,1,failure,0,2.683333333333333,39.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
30,management,Single,tertiary,147,0,0,cellular,1,-1,0,unknown,0,2.55,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
54,services,Single,secondary,0,0,0,cellular,1,81,2,success,1,2.9,81.0,2.0,2009-06-01,Monday,June,1,Blue-collar/Service,0,0
53,admin.,Married,secondary,2851,0,1,telephone,1,119,1,failure,0,1.4833333333333334,119.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
43,management,Single,tertiary,2367,0,0,cellular,1,38,2,other,1,1.9,38.0,2.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
42,management,Single,tertiary,0,0,0,cellular,1,196,1,failure,0,7.5,196.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
46,admin.,Single,secondary,2087,0,0,cellular,1,119,4,other,0,1.85,119.0,4.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
23,services,Single,secondary,31,0,0,cellular,1,-1,0,unknown,1,3.2,,,2009-06-01,Monday,June,0,Blue-collar/Service,0,0
48,management,Married,tertiary,3842,0,0,cellular,2,-1,0,unknown,1,3.5833333333333335,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
30,self-employed,Single,tertiary,3343,0,0,cellular,1,-1,0,unknown,1,3.9166666666666665,,,2009-06-01,Monday,June,0,Entrepreneur/Self-employed,0,0
38,technician,Single,tertiary,25,1,0,cellular,2,-1,0,unknown,1,3.8666666666666667,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
38,unemployed,Single,secondary,804,0,0,cellular,1,-1,0,unknown,1,18.116666666666667,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
34,student,Single,unknown,1011,0,0,cellular,1,-1,0,unknown,1,4.216666666666667,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
39,technician,Single,tertiary,139,0,0,telephone,1,-1,0,unknown,0,3.033333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
52,admin.,Single,secondary,-528,1,1,cellular,2,-1,0,unknown,1,19.066666666666666,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,1
58,management,Married,primary,1727,0,0,telephone,2,-1,0,unknown,0,5.6,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
57,retired,Single,primary,698,0,0,telephone,2,-1,0,unknown,0,0.8833333333333333,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
27,management,Single,tertiary,1840,0,0,cellular,1,28,8,other,1,3.6666666666666665,28.0,8.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
60,management,Married,tertiary,3824,0,0,cellular,3,-1,0,unknown,0,3.25,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
58,technician,Married,tertiary,883,0,0,cellular,2,-1,0,unknown,0,6.216666666666667,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
55,blue-collar,Married,secondary,16873,0,0,cellular,2,-1,0,unknown,0,1.3,,,2009-06-01,Monday,June,0,Blue-collar/Service,0,0
31,self-employed,Single,tertiary,283,0,0,cellular,1,-1,0,unknown,0,2.2333333333333334,,,2009-06-01,Monday,June,0,Entrepreneur/Self-employed,0,0
27,services,Single,secondary,0,0,0,cellular,1,-1,0,unknown,0,3.0166666666666666,,,2009-06-01,Monday,June,0,Blue-collar/Service,0,0
44,management,Single,tertiary,7541,1,0,telephone,2,82,1,other,0,0.9166666666666666,82.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
34,management,Married,tertiary,690,1,0,cellular,2,-1,0,unknown,0,1.5833333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
50,technician,Single,secondary,0,0,0,cellular,2,-1,0,unknown,0,1.8833333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
40,blue-collar,Married,secondary,1451,0,0,cellular,1,-1,0,unknown,1,5.233333333333333,,,2009-06-01,Monday,June,0,Blue-collar/Service,0,0
36,technician,Married,tertiary,202,0,0,cellular,1,192,1,failure,0,3.433333333333333,192.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
41,management,Married,tertiary,10758,1,0,cellular,1,-1,0,unknown,0,4.8,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
36,management,Married,tertiary,387,0,0,cellular,1,-1,0,unknown,0,5.45,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
36,admin.,Single,secondary,119,0,0,cellular,2,-1,0,unknown,0,1.55,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
47,management,Married,tertiary,2351,0,0,cellular,2,84,1,success,1,2.716666666666667,84.0,1.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
30,management,Single,tertiary,3289,0,0,cellular,1,-1,0,unknown,0,1.85,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
32,technician,Married,tertiary,0,1,0,cellular,1,-1,0,unknown,0,2.4833333333333334,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
47,unknown,Single,unknown,172,0,0,telephone,1,-1,0,unknown,0,0.38333333333333336,,,2009-06-02,Tuesday,June,0,Unknown,0,0
43,blue-collar,Married,secondary,1025,1,0,cellular,1,-1,0,unknown,0,1.7666666666666666,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,1,0
29,management,Single,tertiary,92,0,0,cellular,1,92,5,success,0,1.6833333333333333,92.0,5.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
54,unemployed,Single,secondary,1664,0,0,cellular,3,-1,0,unknown,1,4.283333333333333,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
26,management,Single,tertiary,1623,0,0,cellular,1,-1,0,unknown,1,7.983333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
34,management,Single,tertiary,2466,0,0,cellular,1,281,5,other,0,2.3833333333333333,281.0,5.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
37,admin.,Married,secondary,597,0,0,cellular,1,-1,0,unknown,1,6.583333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
32,admin.,Single,secondary,6981,1,0,cellular,1,194,3,failure,0,2.566666666666667,194.0,3.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
37,admin.,Married,secondary,0,1,0,cellular,1,-1,0,unknown,1,1.7833333333333334,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
34,management,Married,tertiary,611,0,0,cellular,1,-1,0,unknown,1,5.833333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
36,management,Single,tertiary,688,0,0,cellular,1,120,1,failure,0,2.1,120.0,1.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
53,management,Married,unknown,2240,1,0,cellular,2,385,1,success,1,4.7,385.0,1.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
48,blue-collar,Married,secondary,238,1,1,cellular,2,81,1,success,0,1.9666666666666666,81.0,1.0,2009-06-02,Tuesday,June,1,Blue-collar/Service,1,1
26,admin.,Single,tertiary,313,0,1,cellular,1,96,2,success,1,3.316666666666667,96.0,2.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
30,student,Single,secondary,1555,0,0,cellular,1,-1,0,unknown,0,1.9166666666666667,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
36,unemployed,Single,secondary,851,0,0,cellular,2,-1,0,unknown,0,6.133333333333334,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
44,management,Married,tertiary,1954,0,0,cellular,1,-1,0,unknown,1,4.9,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
45,management,Married,tertiary,1788,0,0,cellular,2,301,2,failure,0,2.95,301.0,2.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
26,management,Single,tertiary,3178,0,0,cellular,1,-1,0,unknown,0,1.0666666666666667,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
34,self-employed,Single,tertiary,90,0,0,cellular,1,-1,0,unknown,0,1.4,,,2009-06-02,Tuesday,June,0,Entrepreneur/Self-employed,0,0
29,management,Single,tertiary,307,1,0,cellular,1,-1,0,unknown,1,11.5,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
40,services,Married,secondary,0,1,0,cellular,1,28,3,failure,0,4.95,28.0,3.0,2009-06-02,Tuesday,June,1,Blue-collar/Service,1,0
26,technician,Married,secondary,915,0,0,cellular,1,-1,0,unknown,1,6.4,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
40,unemployed,Single,tertiary,7968,0,0,cellular,1,-1,0,unknown,1,9.933333333333334,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
47,management,Married,tertiary,1147,0,0,cellular,1,95,1,failure,1,10.9,95.0,1.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
56,housemaid,Single,primary,61,0,0,cellular,1,-1,0,unknown,0,2.4,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,0,0
41,management,Married,secondary,280,1,0,cellular,1,95,2,success,0,1.4666666666666666,95.0,2.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
34,self-employed,Married,tertiary,2427,0,0,telephone,2,120,1,other,0,0.8333333333333334,120.0,1.0,2009-06-02,Tuesday,June,1,Entrepreneur/Self-employed,0,0
35,technician,Married,secondary,2789,1,0,cellular,1,-1,0,unknown,0,1.4666666666666666,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
43,blue-collar,Married,secondary,2160,0,0,cellular,1,-1,0,unknown,1,2.816666666666667,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,0,0
59,unemployed,Single,secondary,2026,0,0,cellular,1,-1,0,unknown,0,6.583333333333333,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
52,technician,Single,secondary,1005,1,0,cellular,1,-1,0,unknown,1,3.25,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
38,admin.,Married,tertiary,1988,0,0,cellular,1,67,4,success,1,1.7166666666666666,67.0,4.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
38,technician,Married,secondary,1931,0,0,cellular,1,298,10,other,0,2.783333333333333,298.0,10.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
38,self-employed,Married,tertiary,846,0,0,cellular,1,-1,0,unknown,0,4.216666666666667,,,2009-06-02,Tuesday,June,0,Entrepreneur/Self-employed,0,0
49,technician,Single,tertiary,1807,1,0,cellular,1,82,1,success,0,3.75,82.0,1.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
33,services,Single,secondary,1117,0,0,cellular,1,-1,0,unknown,1,6.95,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,0,0
28,management,Single,unknown,560,0,0,cellular,1,-1,0,unknown,0,2.25,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
50,technician,Married,secondary,3370,0,0,cellular,2,-1,0,unknown,1,2.6666666666666665,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
39,admin.,Single,secondary,782,1,0,cellular,2,28,15,failure,0,2.7,28.0,15.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
56,services,Single,secondary,935,0,0,cellular,1,96,3,failure,0,2.2666666666666666,96.0,3.0,2009-06-02,Tuesday,June,1,Blue-collar/Service,0,0
53,admin.,Married,secondary,109,0,0,telephone,1,-1,0,unknown,1,4.5,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
60,housemaid,Married,secondary,283,0,0,cellular,1,-1,0,unknown,0,2.3,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,0,0
57,technician,Married,primary,3376,1,0,telephone,2,-1,0,unknown,1,7.016666666666667,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
25,management,Single,tertiary,4578,0,0,cellular,1,-1,0,unknown,0,1.6666666666666667,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
39,technician,Married,secondary,1587,1,0,cellular,3,-1,0,unknown,1,2.85,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
42,services,Married,secondary,1376,1,0,cellular,2,92,4,success,1,4.516666666666667,92.0,4.0,2009-06-02,Tuesday,June,1,Blue-collar/Service,1,0
45,management,Married,tertiary,273,1,0,cellular,1,95,2,failure,0,2.716666666666667,95.0,2.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
36,blue-collar,Married,secondary,79,1,1,cellular,2,-1,0,unknown,0,1.2333333333333334,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,1,1
50,blue-collar,Married,primary,3764,0,0,telephone,4,-1,0,unknown,0,1.8,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,0,0
25,management,Single,tertiary,1628,0,0,cellular,1,-1,0,unknown,0,1.5166666666666666,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
29,self-employed,Single,tertiary,871,1,0,cellular,1,-1,0,unknown,0,5.166666666666667,,,2009-06-02,Tuesday,June,0,Entrepreneur/Self-employed,1,0
49,technician,Married,tertiary,523,1,0,cellular,1,60,3,failure,1,11.866666666666667,60.0,3.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
27,technician,Single,tertiary,15161,0,0,cellular,1,120,1,success,1,1.2333333333333334,120.0,1.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
55,management,Single,tertiary,1633,0,0,telephone,1,-1,0,unknown,0,2.1333333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
51,self-employed,Married,secondary,4920,0,0,telephone,2,-1,0,unknown,0,6.533333333333333,,,2009-06-02,Tuesday,June,0,Entrepreneur/Self-employed,0,0
32,admin.,Married,tertiary,653,0,0,cellular,1,-1,0,unknown,1,1.4,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
35,admin.,Married,secondary,269,1,1,cellular,1,-1,0,unknown,0,6.533333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,1
39,unemployed,Single,tertiary,79,0,0,cellular,1,-1,0,unknown,0,6.15,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
53,entrepreneur,Married,primary,55,0,0,cellular,1,-1,0,unknown,0,3.6166666666666667,,,2009-06-02,Tuesday,June,0,Entrepreneur/Self-employed,0,0
45,management,Single,secondary,5993,0,0,cellular,1,-1,0,unknown,0,1.9333333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
60,retired,Married,primary,1906,0,0,telephone,1,60,2,other,0,1.3166666666666667,60.0,2.0,2009-06-02,Tuesday,June,1,Student/Retired/Unemployed,0,0
38,technician,Married,secondary,5115,1,0,cellular,1,95,7,success,1,5.3,95.0,7.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
30,student,Single,tertiary,3094,0,0,cellular,2,-1,0,unknown,0,1.9333333333333333,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
56,unemployed,Married,secondary,1350,0,0,cellular,1,-1,0,unknown,0,3.5166666666666666,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
31,student,Single,tertiary,64,0,0,cellular,2,-1,0,unknown,1,4.35,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
56,management,Single,tertiary,659,0,1,cellular,1,-1,0,unknown,0,0.9333333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
29,technician,Single,secondary,1165,0,0,cellular,1,-1,0,unknown,1,4.083333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
41,technician,Married,secondary,1602,1,0,cellular,1,-1,0,unknown,0,2.3666666666666667,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,1,0
28,self-employed,Single,tertiary,5215,0,0,cellular,1,-1,0,unknown,0,11.216666666666667,,,2009-06-02,Tuesday,June,0,Entrepreneur/Self-employed,0,0
49,services,Married,secondary,7019,1,0,cellular,1,368,3,failure,1,4.383333333333334,368.0,3.0,2009-06-02,Tuesday,June,1,Blue-collar/Service,1,0
24,student,Single,secondary,228,0,0,cellular,1,-1,0,unknown,0,2.566666666666667,,,2009-06-02,Tuesday,June,0,Student/Retired/Unemployed,0,0
26,admin.,Single,secondary,96,0,0,cellular,1,27,2,failure,0,11.6,27.0,2.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,0,0
32,management,Married,secondary,625,1,0,cellular,1,56,2,failure,0,5.866666666666666,56.0,2.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
34,admin.,Single,secondary,4447,1,0,cellular,1,84,2,failure,0,2.65,84.0,2.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
32,management,Single,tertiary,530,1,0,cellular,1,60,1,failure,0,1.9666666666666666,60.0,1.0,2009-06-02,Tuesday,June,1,Admin/Mgmt/Tech,1,0
29,services,Married,secondary,399,0,0,cellular,1,-1,0,unknown,0,3.5,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,0,0
46,blue-collar,Married,secondary,1568,1,0,cellular,1,55,6,other,1,5.166666666666667,55.0,6.0,2009-06-02,Tuesday,June,1,Blue-collar/Service,1,0
57,blue-collar,Married,primary,3109,0,0,cellular,2,-1,0,unknown,1,8.033333333333333,,,2009-06-02,Tuesday,June,0,Blue-collar/Service,0,0
41,admin.,Married,secondary,1021,0,0,cellular,1,-1,0,unknown,0,3.7333333333333334,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
40,technician,Married,secondary,4298,0,0,cellular,1,-1,0,unknown,0,3.683333333333333,,,2009-06-02,Tuesday,June,0,Admin/Mgmt/Tech,0,0
